_created_at_rank,_sample_seed,_stratum_key,agent,approved_review_count,body,bot_comment_count,bot_pr_comment_count,bot_review_comment_count,bot_review_count,change_complexity_bin,changes_requested_review_count,closed_at,commented_review_count,commit_count,created_at,created_period,first_approval_at,first_human_review_at,forks,full_name,html_url,human_comment_count,human_pr_comment_count,human_review_comment_count,human_review_count,id,language,merged,merged_at,number,population_case_type,pr_comment_count,pr_id,repo_id,repo_popularity_bin,repo_url,review_comment_count,review_count,stars,state,task_confidence,task_type,title,unique_commit_authors_count,unique_reviewers_count,user,user_id
694,20260510,Claude_Code,Claude_Code,1,"This commit updates all packages to use urfave/cli v3 with a focus on:

- Update import statements from github.com/urfave/cli/v2 to v3
  - Change Action function signatures from func(*cli.Context) -> func(context.Context, *cli.Command)
  - Update context access from cliCtx.Context to ctx directly
  - Update flag access patterns to use cliCmd methods
  - Update environment variables from EnvVars to Sources
- bump go packages 

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0,0,0,0,low,0,2025-05-21T12:00:58Z,17,2,2025-05-20T19:19:18Z,old,2025-05-21 11:44:41+00:00,2025-05-20 19:44:39+00:00,43,spacelift-io/spacectl,https://github.com/spacelift-io/spacectl/pull/324,32,2,30,18,3078006902,Go,true,2025-05-21T12:00:58Z,324,merged_after_rework,2,3078006902,354647574,low,https://api.github.com/repos/spacelift-io/spacectl,30,18,143,closed,8,feat,migrate: Update CLI to urfave/cli v3,1,2,peterdeme,19969687
1718,20260510,Claude_Code,Claude_Code,0,"## Summary
- Implements a comprehensive API v1 with both OAuth2 and API key authentication
- Adds accounts and transactions endpoints with full CRUD support
- Includes rate limiting, usage tracking, and developer-friendly features

## Key Features

### Authentication & Authorization
- **OAuth2 Support**: Full Doorkeeper integration for third-party apps
- **API Keys**: JWT-based API keys with scoped permissions (read/read_write)
- **Dual Authentication**: Supports both OAuth tokens and API keys seamlessly
- **Rate Limiting**: Configurable limits per API key with Rack Attack integration

### API Endpoints
- **Accounts** (`GET /api/v1/accounts`): List user accounts with pagination
- **Transactions** (`GET/POST/PUT/DELETE /api/v1/transactions`): Full CRUD with advanced filtering
  - Filter by account, category, merchant, date range, amount range, tags
  - Full-text search support
  - Pagination with metadata
- **Usage** (`GET /api/v1/usage`): Track API usage and rate limit status

### Developer Experience
- **JSON API**: Clean JSON responses using Jbuilder templates
- **Error Handling**: Consistent error responses with appropriate HTTP codes
- **API Key Management**: User-friendly UI for creating and managing API keys
- **Documentation**: Test endpoints for developers to validate their integration
- **Pagination**: Standard pagination with metadata for all list endpoints

### Security & Performance
- **Strong Parameters**: Proper input validation and sanitization
- **Scoped Access**: Read vs read/write permissions
- **Rate Limiting**: Protects API from abuse
- **N+1 Prevention**: Optimized queries with proper includes

## Test Coverage
- Comprehensive controller tests for all endpoints
- API key and OAuth authentication tests
- Rate limiting integration tests
- System tests for API key management UI

## Breaking Changes
None - this is a new API version that doesn't affect existing functionality.

## Next Steps
After this PR, we can add more endpoints for:
- Categories and tags management
- Account details and balance history
- Budget and reporting endpoints
- Investment holdings and trades

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0,0,0,0,high,0,2025-06-17T20:57:05Z,0,11,2025-06-17T20:17:55Z,middle,NaT,NaT,4080,maybe-finance/maybe,https://github.com/maybe-finance/maybe/pull/2389,12,12,0,0,3154662508,Ruby,true,2025-06-17T20:57:05Z,2389,merged_after_rework,12,3154662508,737898780,high,https://api.github.com/repos/maybe-finance/maybe,0,0,52591,closed,10,feat,Add comprehensive API v1 with OAuth and API key authentication,1,0,Shpigford,35243
2082,20260510,Claude_Code,Claude_Code,0,"## Summary

Node.js v24 changed the behavior of `napi_get_value_string_utf8` when `NAPI_AUTO_LENGTH` is passed.

## The Problem

When `NAPI_AUTO_LENGTH` is passed as `bufsize` to `napi_get_value_string_utf8`, Bun was incorrectly returning an empty string instead of copying the entire string content like Node.js does.

## The Fix

Removed the incorrect early return in `src/bun.js/bindings/napi.cpp:2101-2105` that was setting the buffer to empty when `bufsize == NAPI_AUTO_LENGTH`.

### Node.js Implementation Details

Looking at Node.js's implementation in `vendor/node/src/js_native_api_v8.cc:1713-1729`:

```cpp
} else if (bufsize \!= 0) {
  int copied = val.As<v8::String>()->WriteUtf8(
      env->isolate,
      buf,
      bufsize - 1,
      nullptr,
      v8::String::REPLACE_INVALID_UTF8 | v8::String::NO_NULL_TERMINATION);

  buf[copied] = '\0';
  if (result \!= nullptr) {
    *result = copied;
  }
}
```

- Node.js calls V8's `WriteUtf8` with `bufsize - 1` as the length parameter
- V8's `WriteUtf8` (in `v8-primitive.h`) copies up to that many bytes
- When `NAPI_AUTO_LENGTH` (`SIZE_MAX`) is passed, `bufsize - 1` is still a very large value
- This effectively copies the entire string, which is the intended behavior

## Test Case

The test was expecting `toEndWith(""str:"")` but should expect `toEndWith(""str: abcdef"")` to match Node.js output:

```
Chars to copy: 18446744073709551615
Copied chars: 6
Buffer: 97, 98, 99, 100, 101, 102, 0, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 0, 
Value str: abcdef
```

## Testing

- Fixed the implementation to match Node.js behavior
- Updated the test expectation to match the correct output
- Verified the test passes with the fix

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0,0,0,0,medium,0,2025-07-03T03:10:08Z,0,5,2025-06-28T08:21:40Z,middle,NaT,NaT,3222,oven-sh/bun,https://github.com/oven-sh/bun/pull/20698,1,1,0,0,3184725856,Zig,true,2025-07-03T03:10:08Z,20698,merged_after_rework,1,3184725856,357728969,high,https://api.github.com/repos/oven-sh/bun,0,0,79404,closed,10,fix,Match Node.js v24 behavior for `napi_get_value_string_utf8` handling of `NAPI_AUTO_LENGTH`,1,0,Jarred-Sumner,709451
2196,20260510,Claude_Code,Claude_Code,0,"## Summary

This PR implements Phase 8 of the telemetry system migration (#833), focusing on comprehensive performance testing and validation. The primary goal was to ensure the telemetry system has minimal performance impact when disabled (<100ns) while providing robust testing capabilities.

## Key Achievements

### 🎯 Performance Goals Met
- **2.4 nanoseconds** per operation when telemetry is disabled (target: <100ns)
- **Zero memory allocations** on the disabled path
- Atomic flag checking optimized to 1.3ns

### 🧪 Testing Infrastructure
- **MockTransport**: Thread-safe Sentry transport implementation for testing
- **Test Helpers**: Unified testing interface for both `testing.T` and `testing.B`
- **Integration Tests**: Complete end-to-end telemetry flow validation
- **Performance Benchmarks**: Comprehensive benchmark suite

## What's Changed

### MockTransport Implementation
- Implements full `sentry.Transport` interface
- Thread-safe event capture and retrieval
- Helper methods for test assertions
- Support for async event verification

### Test Coverage
- ✅ Telemetry system unit tests
- ✅ Integration tests with error package
- ✅ End-to-end flow tests
- ✅ Privacy compliance verification
- ✅ Concurrent operation tests
- ✅ Performance benchmarks

### Performance Optimizations
- Atomic flag for fast telemetry state checking
- Optimized capture functions with early returns
- Zero-allocation path when disabled

## Performance Results

```
BenchmarkOptimizedTelemetryDisabled/FastCaptureError-4     496724498    2.423 ns/op    0 B/op    0 allocs/op
BenchmarkOptimizedTelemetryDisabled/FastCaptureMessage-4   491951907    2.448 ns/op    0 B/op    0 allocs/op
BenchmarkOptimizedTelemetryDisabled/AtomicCheck-4          897079670    1.346 ns/op    0 B/op    0 allocs/op
```

## Testing Guidelines

### Using MockTransport
```go
config, cleanup := telemetry.InitForTesting(t)
defer cleanup()

// Your test code here
telemetry.CaptureError(err, ""component"")

// Verify
telemetry.AssertEventCount(t, config.MockTransport, 1, 100*time.Millisecond)
```

### Performance Testing
```go
// Use optimized functions in production code
if telemetry.IsTelemetryEnabled() {
    telemetry.CaptureError(err, component)
}
```

## Files Changed
- `internal/telemetry/mock_transport.go` - MockTransport implementation
- `internal/telemetry/test_helpers.go` - Testing utilities
- `internal/telemetry/integration_test.go` - Integration tests
- `internal/telemetry/e2e_test.go` - End-to-end tests
- `internal/telemetry/benchmark_test.go` - Performance benchmarks
- `internal/telemetry/optimized_capture.go` - Performance optimizations
- `internal/telemetry/optimized_benchmark_test.go` - Optimized benchmarks

## Related Issues
- Implements Phase 8 of #833
- Continues work from PR #839 (Phase 7)

## Checklist
- [x] Tests pass
- [x] Linter passes
- [x] Performance targets met
- [x] Documentation updated
- [x] No breaking changes

## Next Steps
Phase 9 will focus on documentation and examples to help developers integrate with the new telemetry system.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>

<!-- This is an auto-generated comment: release notes by coderabbit.ai -->
## Summary by CodeRabbit

* **New Features**
  * Introduced a mock transport for capturing and inspecting telemetry events in tests.
  * Added optimized functions for fast telemetry state checks and event capturing.
  * Provided utilities for initializing and asserting telemetry events in test environments.
  * Added a recommended asynchronous telemetry worker with rate limiting and circuit breaker for reliable error reporting.
  * Integrated telemetry state cache updates on settings changes to ensure accurate telemetry enablement status.

* **Tests**
  * Added comprehensive unit, integration, end-to-end, and benchmark tests for telemetry, including privacy scrubbing, concurrency, and performance scenarios.
  * Included helpers for verifying event content, count, levels, and tags during testing.
  * Validated asynchronous and synchronous telemetry error reporting behaviors and non-blocking guarantees.
<!-- end of auto-generated comment: release notes by coderabbit.ai -->",33,1,32,5,high,0,2025-07-01T18:11:08Z,6,8,2025-07-01T17:00:54Z,recent,NaT,2025-07-01 17:48:40+00:00,37,tphakala/birdnet-go,https://github.com/tphakala/birdnet-go/pull/841,1,0,1,1,3193198936,Go,true,2025-07-01T18:11:08Z,841,merged_after_rework,1,3193198936,707764474,low,https://api.github.com/repos/tphakala/birdnet-go,33,6,464,closed,10,feat,feat(telemetry): implement performance testing framework (Phase 8),1,2,tphakala,7030001
2617,20260510,Claude_Code,Claude_Code,1,"## Summary
- Adds a new user setting for default bookmark view mode on mobile devices
- Allows users to choose between ""Reader"" and ""Browser"" as their preferred default view when opening bookmarks
- Setting is stored locally on the mobile device for instant access and offline capability

## Changes Made
- Added `mobileBookmarkClickDefaultViewMode` setting to mobile app's local settings
- Implemented settings UI in mobile Settings > Default Bookmark View
- Updated bookmark view component to use the user's preferred default view mode
- Default value is ""Reader"" for new users

## User Experience
- Users can now set their preferred default view mode (Reader or Browser) for bookmarks
- The setting is applied immediately when opening bookmarks on mobile
- No network calls required - setting is stored locally for better performance
- Setting persists across app sessions

## Screenshots/Demo

### Tested on ios simulator

<img src=""https://github.com/user-attachments/assets/5b2ef1c3-9158-40ad-a663-f93cea28c674"" height=400 />

I've also tested on the android app on device, connected to a karakeep server on v0.25.0 to make sure that the latest version of the app works even on older server instances.

Resolves #1603

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0,0,0,0,high,0,2025-07-17T08:24:33Z,7,8,2025-07-11T20:06:28Z,recent,2025-07-17 08:24:24+00:00,2025-07-11 20:08:25+00:00,799,karakeep-app/karakeep,https://github.com/karakeep-app/karakeep/pull/1723,12,1,11,8,3224085262,TypeScript,true,2025-07-17T08:24:33Z,1723,merged_after_rework,1,3224085262,753589979,high,https://api.github.com/repos/karakeep-app/karakeep,11,8,18852,closed,10,feat,feat(mobile): Add user setting for default bookmark view mode,1,2,xuatz,9292261
2766,20260510,Claude_Code,Claude_Code,1,"<details><summary>&#x1F6E0 DevTools &#x1F6E0</summary>
<p>

[![Open in GitHub Codespaces](https://github.com/codespaces/badge.svg)](https://codespaces.new/harupy/mlflow/pull/16758?quickstart=1)

#### Install mlflow from this PR

```
# mlflow
pip install git+https://github.com/mlflow/mlflow.git@refs/pull/16758/merge
# mlflow-skinny
pip install git+https://github.com/mlflow/mlflow.git@refs/pull/16758/merge#subdirectory=libs/skinny
```

For Databricks, use the following command:

```
%sh curl -LsSf https://raw.githubusercontent.com/mlflow/mlflow/HEAD/dev/install-skinny.sh | sh -s pull/16758/merge
```

</p>
</details>

### Related Issues/PRs

<!-- Uncomment 'Resolve' if this PR can close the linked items. -->
<!-- Resolve --> #xxx

### What changes are proposed in this pull request?

This PR implements webhook test functionality to allow users to test their webhook endpoints with example payloads. The implementation includes:

- **Added `example()` class methods** to all webhook payload TypedDict classes in `mlflow/webhooks/types.py` that generate realistic test data
- **Refactored `mlflow/webhooks/dispatch.py`** to extract `_send_webhook_request()` for reusability and add `test_webhook()` function with optional event parameter
- **Updated REST store, handlers, and client** to support webhook testing with proper protobuf integration
- **Added comprehensive end-to-end tests** covering various webhook test scenarios including secure/insecure endpoints, specific event types, and error handling
- **Enhanced webhook dispatch logic** to support HMAC signature verification in test requests
- **Added proper error handling** with timeout protection and detailed success/failure information

### How is this PR tested?

- [x] Existing unit/integration tests
- [x] New unit/integration tests
- [x] Manual tests

**New Tests Added:**
- `test_webhook_test_insecure_endpoint` - Tests successful webhook test to insecure endpoint
- `test_webhook_test_secure_endpoint` - Tests webhook test with HMAC signature verification
- `test_webhook_test_with_specific_event` - Tests webhook test with specific event type selection
- `test_webhook_test_failed_endpoint` - Tests webhook test to non-existent endpoint
- `test_webhook_test_with_wrong_secret` - Tests webhook test with incorrect HMAC secret

### Does this PR require documentation update?

- [x] No. You can skip the rest of this section.
- [ ] Yes. I've updated:
  - [ ] Examples
  - [ ] API references
  - [ ] Instructions

### Release Notes

#### Is this a user-facing change?

- [ ] No. You can skip the rest of this section.
- [x] Yes. Give a description of this change to be included in the release notes for MLflow users.

**New webhook test functionality:** Users can now test their webhook endpoints using `mlflow_client.test_webhook(webhook_id, event=None)`. The feature sends example payloads based on the webhook's event types and returns detailed success/failure information including response status codes and error messages. Supports HMAC signature verification for secure webhooks.

#### What component(s), interfaces, languages, and integrations does this PR affect?

Components

- [ ] `area/artifacts`: Artifact stores and artifact logging
- [ ] `area/build`: Build and test infrastructure for MLflow
- [ ] `area/deployments`: MLflow Deployments client APIs, server, and third-party Deployments integrations
- [ ] `area/docs`: MLflow documentation pages
- [ ] `area/evaluation`: MLflow model evaluation features, evaluation metrics, and evaluation workflows
- [ ] `area/examples`: Example code
- [x] `area/model-registry`: Model Registry service, APIs, and the fluent client calls for Model Registry
- [ ] `area/models`: MLmodel format, model serialization/deserialization, flavors
- [ ] `area/projects`: MLproject format, project running backends
- [ ] `area/prompt`: MLflow prompt engineering features, prompt templates, and prompt management
- [ ] `area/scoring`: MLflow Model server, model deployment tools, Spark UDFs
- [x] `area/server-infra`: MLflow Tracking server backend
- [ ] `area/tracing`: MLflow Tracing features, tracing APIs, and LLM tracing functionality
- [ ] `area/tracking`: Tracking Service, tracking client APIs, autologging

Interface

- [ ] `area/uiux`: Front-end, user experience, plotting, JavaScript, JavaScript dev server
- [ ] `area/docker`: Docker use across MLflow's components, such as MLflow Projects and MLflow Models
- [ ] `area/sqlalchemy`: Use of SQLAlchemy in the Tracking Service or Model Registry
- [ ] `area/windows`: Windows support

Language

- [ ] `language/r`: R APIs and clients
- [ ] `language/java`: Java APIs and clients
- [ ] `language/new`: Proposals for new client languages

Integrations

- [ ] `integrations/azure`: Azure and Azure ML integrations
- [ ] `integrations/sagemaker`: SageMaker integrations
- [ ] `integrations/databricks`: Databricks integrations

<a name=""release-note-category""></a>

#### How should the PR be classified in the release notes? Choose one:

- [ ] `rn/none` - No description will be included. The PR will be mentioned only by the PR number in the ""Small Bugfixes and Documentation Updates"" section
- [ ] `rn/breaking-change` - The PR will be mentioned in the ""Breaking Changes"" section
- [x] `rn/feature` - A new user-facing feature worth mentioning in the release notes
- [ ] `rn/bug-fix` - A user-facing bug fix worth mentioning in the release notes
- [ ] `rn/documentation` - A user-facing documentation change worth mentioning in the release notes

#### Should this PR be included in the next patch release?

`Yes` should be selected for bug fixes, documentation updates, and other small changes. `No` should be selected for new features and larger changes. If you're unsure about the release classification of this PR, leave this unchecked to let the maintainers decide.

- [ ] Yes (this PR will be cherry-picked and included in the next patch release)
- [x] No (this PR will be included in the next minor release)

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2,2,0,0,high,0,2025-07-18T05:37:50Z,6,8,2025-07-16T09:05:13Z,recent,2025-07-18 02:47:06+00:00,2025-07-17 09:21:04+00:00,4716,mlflow/mlflow,https://github.com/mlflow/mlflow/pull/16758,6,0,6,7,3235103212,Python,true,2025-07-18T05:37:50Z,16758,merged_after_rework,2,3235103212,136202695,high,https://api.github.com/repos/mlflow/mlflow,6,7,21402,closed,10,feat,Implement webhook test functionality with example payloads,1,2,harupy,17039389
3110,20260510,Claude_Code,Claude_Code,0,"- 在AiConfig接口中添加customHeaders字段
- 在createOpenAIClient中合并自定义headers到默认请求头
- 在AI配置页面为自定义配置添加Headers编辑功能
- 修复自定义headers保存逻辑，改为失焦时保存
- 优化代码结构，直接在defaultHeaders中合并自定义headers

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",0,0,0,0,low,0,2025-07-29T06:05:14Z,0,3,2025-07-28T12:38:47Z,recent,NaT,NaT,470,codexu/note-gen,https://github.com/codexu/note-gen/pull/481,1,1,0,0,3269741497,TypeScript,true,2025-07-29T06:05:14Z,481,merged_after_rework,1,3269741497,838659679,high,https://api.github.com/repos/codexu/note-gen,0,0,7248,closed,10,feat,feat: 增加AI配置自定义请求头功能,2,0,SilenceZen,48553796
627,20260510,Copilot,Copilot,2,"This PR adds a link to the .NET MAUI for .NET 10 documentation in the Current News section of README.md.

The link has been added at the top of the news list, maintaining the existing format and preserving the reverse chronological order of announcements. This helps users quickly find information about the latest .NET MAUI release.

Added entry:
* November 13, 2024 - [What's new in .NET MAUI for .NET 10](https://learn.microsoft.com/dotnet/maui/whats-new/dotnet-10)

Fixes #29577.

---

💡 You can make Copilot smarter by setting up custom instructions, customizing its development environment and configuring Model Context Protocol (MCP) servers. Learn more [Copilot coding agent tips](https://gh.io/copilot-coding-agent-tips) in the docs.",3,0,3,3,medium,2,2025-06-25T15:05:36Z,5,5,2025-05-19T19:18:23Z,old,2025-05-19 19:34:55+00:00,2025-05-19 19:29:37+00:00,1865,dotnet/maui,https://github.com/dotnet/maui/pull/29578,4,0,4,6,3074788987,C#,true,2025-06-25T15:05:36Z,29578,merged_after_rework,0,3074788987,262395224,high,https://api.github.com/repos/dotnet/maui,7,9,22821,closed,10,docs,Update README.md with link to .NET MAUI for .NET 10,1,5,Copilot,198982749
637,20260510,Copilot,Copilot,2,"When copying and pasting stacks from PerfView into a GitHub issue, most lines start with `+` which GitHub interprets as bulleted list items instead of being part of the same table. This causes the pasted data to render incorrectly.

This PR modifies the clipboard formatting to add:
1. A leading `|` character to the first column of each row
2. A trailing `|` character to the last column of each row

With these changes, GitHub correctly renders the pasted content as a markdown table rather than as a bulleted list.

The changes are minimal and focused on the clipboard formatting functionality in the `CopyingRowClipboardContent` event handler within `PerfDataGrid.xaml.cs`. The implementation preserves existing functionality like content compression and column padding while ensuring consistent formatting across header rows and data rows.

Fixes #940.

> [!WARNING]
>
> <details>
> <summary>Firewall rules blocked me from connecting to one or more addresses</summary>
>
> #### I tried to connect to the following addresses, but was blocked by firewall rules:
>
> - `crl3.digicert.com`
>   - Triggering command: `dotnet build ` (dns block)
> - `crl4.digicert.com`
>   - Triggering command: `dotnet build ` (dns block)
> - `ocsp.digicert.com`
>   - Triggering command: `dotnet build ` (dns block)
> - `s.symcb.com`
>   - Triggering command: `dotnet build ` (dns block)
> - `s.symcd.com`
>   - Triggering command: `dotnet build ` (dns block)
> - `ts-crl.ws.symantec.com`
>   - Triggering command: `dotnet build ` (dns block)
> - `ts-ocsp.ws.symantec.com`
>   - Triggering command: `dotnet build ` (dns block)
>
> If you need me to access, download, or install something from one of these locations, you can either:
>
> - Configure [Actions setup steps](https://gh.io/copilot/actions-setup-steps) to set up my environment, which run before the firewall is enabled
> - Add the appropriate URLs or hosts to my [firewall allow list](https://gh.io/copilot/firewall-config)
>
> </details>


---

💡 You can make Copilot smarter by setting up custom instructions, customizing its development environment and configuring Model Context Protocol (MCP) servers. Learn more [Copilot coding agent tips](https://gh.io/copilot-coding-agent-tips) in the docs.",0,0,0,0,low,0,2025-05-22T17:14:02Z,0,2,2025-05-19T21:08:32Z,old,2025-05-22 15:37:52+00:00,2025-05-22 15:37:52+00:00,742,microsoft/perfview,https://github.com/microsoft/perfview/pull/2203,3,3,0,2,3075024592,C#,true,2025-05-22T17:14:02Z,2203,merged_after_rework,3,3075024592,33010673,high,https://api.github.com/repos/microsoft/perfview,0,2,4477,closed,9,feat,Add markdown table formatting when copying stacks for GitHub issues,1,2,Copilot,198982749
643,20260510,Copilot,Copilot,0,"This PR implements a GitHub Action that automatically updates the README.md with a list of contributors to the repository. The contributors are displayed with their avatars linked to their GitHub profiles in a dedicated ""Contributors"" section.

## Features

- New GitHub Action workflow: `.github/workflows/update-readme-contributors.yml`
- Runs on a weekly schedule (Sunday at 00:00 UTC)
- Also runs when changes are pushed to the main branch
- Adds a new ""👥 Contributors"" section to the README before the ""Roadmap"" section
- Displays contributor avatars with links to their GitHub profiles
- Skips bot accounts like GitHub Actions and Dependabot

## Implementation Details

- Uses `actions/github-script` to interact with the GitHub API
- Fetches up to 100 repository contributors
- Formats contributor avatars in a visually appealing grid
- Includes error handling and retry logic for network issues
- Adds ""[skip ci]"" to commit messages to prevent recursive workflow runs
- Only updates the README when there are actual changes to commit

Fixes #77.

> [!WARNING]
>
> <details>
> <summary>Firewall rules blocked me from connecting to one or more addresses</summary>
>
> #### I tried to connect to the following addresses, but was blocked by firewall rules:
>
> - `api.github.com`
>   - Triggering command: `pwsh -File ./test-contributors.ps1 ` (dns block)
>
> If you need me to access, download, or install something from one of these locations, you can either:
>
> - Configure [Actions setup steps](https://gh.io/copilot/actions-setup-steps) to set up my environment, which run before the firewall is enabled
> - Add the appropriate URLs or hosts to my [firewall allow list](https://gh.io/copilot/firewall-config)
>
> </details>


---

💡 You can make Copilot smarter by setting up custom instructions, customizing its development environment and configuring Model Context Protocol (MCP) servers. Learn more [Copilot coding agent tips](https://gh.io/copilot-coding-agent-tips) in the docs.",7,4,3,3,medium,0,2025-05-20T00:12:12Z,5,6,2025-05-19T23:20:11Z,old,NaT,2025-05-19 23:47:15+00:00,19,deadlydog/PowerShell.tiPS,https://github.com/deadlydog/PowerShell.tiPS/pull/128,3,0,3,2,3075216235,PowerShell,true,2025-05-20T00:12:12Z,128,merged_after_rework,4,3075216235,667153158,low,https://api.github.com/repos/deadlydog/PowerShell.tiPS,6,5,171,closed,9,feat,Add GitHub Action to automatically update README with contributors,1,2,Copilot,198982749
