card_id,pr_id,agent,diego_categoria,javier_categoria,diego_familia_sugerida,javier_familia_sugerida,coincide_familia
3074788987-A,3074788987,Copilot,documentacion_descripcion_incorrecta,Feedback Contradictorio de Múltiples Reviewers Causando Iteración Caótica,documentacion_descripcion,proceso_gobernanza,no
3075024592-A,3075024592,Copilot,evidencia_insuficiente_rechazo_inicial,Timeout de Code Owner - Bypass por Conveniencia,evidencia_insuficiente,proceso_gobernanza,no
3075216235-A,3075216235,Copilot,configuracion_ci_despliegue,Múltiples Iteraciones de Feedback Secuencial del Revisor,configuracion_automatizacion,proceso_gobernanza,no
3075286950-A,3075286950,Copilot,documentacion_descripcion_incorrecta,Corrección de Especificación Incorrecta Requiriendo Reescritura Múltiple,documentacion_descripcion,arquitectura_diseno,no
3075799511-A,3075799511,Copilot,estilo_formato_lint,Bot Malfuncionando Requiriendo Bypass Manual - Retraso Extremo,validacion_calidad_ci,proceso_gobernanza,no
3076981888-A,3076981888,Copilot,cumplimiento_proceso_pr,Cambio Menor Abandonado por Falta de Revisión - Reactivación Manual,proceso_gobernanza,proceso_gobernanza,si
3077383006-A,3077383006,Copilot,cumplimiento_proceso_pr,Corrección Iterativa Bien Coordinada Entre Revisor y Bot,proceso_gobernanza,implementacion_logica,no
3078006902-A,3078006902,Claude_Code,ajuste_diseno_api_modelo,Ausencia de Patrón de Referencia Documentado (scope grande),arquitectura_diseno,arquitectura_diseno,si
3080755872-A,3080755872,Copilot,configuracion_ci_despliegue,Merge con Checks Fallando - Confianza del Owner,configuracion_automatizacion,proceso_gobernanza,no
3081566388-A,3081566388,Copilot,ajustes_implementacion_review,Errores en tests unitarios / compilación,implementacion_logica,validacion_calidad_ci,no
3081576661-A,3081576661,Copilot,correccion_funcional_logica,Errores de build y ajustes en la implementación,implementacion_logica,implementacion_logica,si
3082820826-A,3082820826,Copilot,estilo_formato_lint,Errores y ajustes en tests de decoradores,validacion_calidad_ci,implementacion_logica,no
3083360457-A,3083360457,Copilot,pruebas_faltantes_o_insuficientes,Errores de comportamiento en ejecución no interactiva,validacion_calidad_ci,implementacion_logica,no
3084021151-A,3084021151,Copilot,dependencias_versiones_migracion,Actualización de dependencias sin conflictos,dependencias_versionado,dependencias_versionado,si
3084794817-A,3084794817,Copilot,estilo_formato_lint,Errores de tipo y ajustes en implementación de credenciales,validacion_calidad_ci,implementacion_logica,no
3084861928-A,3084861928,Copilot,estilo_formato_lint,Errores de manejo de valores nulos y compatibilidad de bloques dinámicos,validacion_calidad_ci,implementacion_logica,no
3085322410-A,3085322410,Copilot,documentacion_descripcion_incorrecta,Actualización de dependencias / restricción de versiones,documentacion_descripcion,dependencias_versionado,no
3085653329-A,3085653329,Copilot,configuracion_ci_despliegue,Actualización de dependencias sin cambios funcionales,configuracion_automatizacion,dependencias_versionado,no
3086540771-A,3086540771,Copilot,configuracion_ci_despliegue,Actualización de dependencias / SDK,configuracion_automatizacion,dependencias_versionado,no
3087094895-A,3087094895,Copilot,estilo_formato_lint,Problemas de límite de tamaño de archivo / reestructuración de scripts,validacion_calidad_ci,implementacion_logica,no
3087813875-A,3087813875,Copilot,pruebas_faltantes_o_insuficientes,Falsos positivos en análisis estático / ajuste de reglas,validacion_calidad_ci,validacion_calidad_ci,si
3090023166-A,3090023166,Copilot,pruebas_faltantes_o_insuficientes,Corrección de errores tipográficos / test,validacion_calidad_ci,implementacion_logica,no
3091075597-A,3091075597,Copilot,configuracion_ci_despliegue,Mejora de funcionalidad / renderizado de Markdown,configuracion_automatizacion,feature_producto,no
3093824141-A,3093824141,Copilot,ajuste_diseno_api_modelo,Corrección de configuración de API / URL,arquitectura_diseno,configuracion_automatizacion,no
3094144121-A,3094144121,Copilot,documentacion_descripcion_incorrecta,Ajuste de configuración de hooks pre-commit,documentacion_descripcion,configuracion_automatizacion,no
3095409522-A,3095409522,Copilot,correccion_funcional_logica,This repository has been disabled.,implementacion_logica,evidencia_insuficiente,no
3098739033-A,3098739033,Copilot,pruebas_faltantes_o_insuficientes,Corrección de descubrimiento de propiedades públicas / MetadataLoadContext,validacion_calidad_ci,proceso_gobernanza,no
3098938231-A,3098938231,Copilot,ajuste_menor_review,Mejora de robustez / validación de inputs y manejo de errores,implementacion_logica,implementacion_logica,si
3099658013-A,3099658013,Copilot,estilo_formato_lint,Soporte de empaquetado / creación de RPM,validacion_calidad_ci,configuracion_automatizacion,no
3102987892-A,3102987892,Copilot,documentacion_descripcion_incorrecta,Refactorización / simplificación de lógica interna,documentacion_descripcion,mantenimiento_refactor,no
3104405109-A,3104405109,Copilot,estilo_formato_lint,Refactorización / tipado de configuración,validacion_calidad_ci,mantenimiento_refactor,no
3105376649-A,3105376649,Copilot,estilo_formato_lint,Limpieza de código / eliminación de elementos no utilizados,validacion_calidad_ci,mantenimiento_refactor,no
3105630972-A,3105630972,Copilot,reduccion_alcance_o_sobrecodigo,Corrección de errores / timing de callbacks DOM,implementacion_logica,implementacion_logica,si
3108675807-A,3108675807,Copilot,ajustes_implementacion_review,Refactorización / modularización de código,implementacion_logica,mantenimiento_refactor,no
3108861090-A,3108861090,Copilot,documentacion_descripcion_incorrecta,Limpieza de código / eliminación de archivos obsoletos,documentacion_descripcion,mantenimiento_refactor,no
3113149474-A,3113149474,Copilot,configuracion_ci_despliegue,Nueva funcionalidad / documentación,configuracion_automatizacion,feature_producto,no
3114898378-A,3114898378,Copilot,pruebas_faltantes_o_insuficientes,Nueva funcionalidad / dashboards de monitoreo,validacion_calidad_ci,feature_producto,no
3115119469-A,3115119469,Copilot,estilo_formato_lint,Mejora de calidad / habilitación de linters en tests,validacion_calidad_ci,validacion_calidad_ci,si
3115680597-A,3115680597,Copilot,documentacion_descripcion_incorrecta,Corrección de compatibilidad / librerías nativas,documentacion_descripcion,implementacion_logica,no
3115762277-A,3115762277,Copilot,pruebas_faltantes_o_insuficientes,Nueva funcionalidad / comandos de configuración CLI,validacion_calidad_ci,feature_producto,no
3120162244-A,3120162244,Copilot,estilo_formato_lint,Mejora de calidad / regla de lint personalizada,validacion_calidad_ci,validacion_calidad_ci,si
3120246489-A,3120246489,Copilot,estilo_formato_lint,Mejora de calidad / integración de linter,validacion_calidad_ci,validacion_calidad_ci,si
3124709717-A,3124709717,Copilot,reduccion_alcance_o_sobrecodigo,Mantenimiento / actualización de CODEOWNERS,implementacion_logica,proceso_gobernanza,no
