card_id,pr_id,population_case_type,pr_state,merged,repo_id,agent,html_url,,evidence_source,evidence_created_at,merged_at,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge,justificacion_breve,cita_textual_retrabajo
3078006902-A,3078006902,merged_after_rework,closed,true,354647574,Claude_Code,https://github.com/spacelift-io/spacectl/pull/324,,pr_review_comment,2025-05-20T19:44:39Z,2025-05-21T12:00:58Z,16423,16694,16423,primera_review_aprobada,Ausencia de Patrón de Referencia Documentado (scope grande),Primera iteración: Claude intentó migrar TODO el proyecto sin patrón de referencia. Resultado: generación de scripts shell con sed (alto riesgo). Solución: migración manual inicial + MIGRATION.md como patrón + implementación carpeta por carpeta. Raíz: falta contexto compartido para validar decisiones de forma consistente.,z
3154662508-A,3154662508,merged_after_rework,closed,true,737898780,Claude_Code,https://github.com/maybe-finance/maybe/pull/2389,,pr_comment,2025-06-17T20:59:05Z,2025-06-17T20:57:05Z,,653,653,merge_sin_review_aprobada,Fallos Secuenciales en Validaciones Automatizadas,11 commits iniciales desencadenaron 5 checks en cascada: (1) Rubocop → (2) Tests → (3) Brakeman. Cada fallo detectado secuencialmente porque no validó localmente antes de push. Cada ciclo requería fix + re-run. Solución: ejecutar checks localmente antes de push. Raíz: falta validación pre-commit.,z
3184725856-A,3184725856,merged_after_rework,closed,true,357728969,Claude_Code,https://github.com/oven-sh/bun/pull/20698,,pr_comment,2025-06-28T08:21:48Z,2025-07-03T03:10:08Z,,114808,114808,merge_sin_review_aprobada,"Test Flaky No Relacionado Bloqueando Merge (Yo: ""Arreglé NAPI_AUTO_LENGTH""
CI: ✅ Tu código está bien
CI: ❌ Pero spawn.test.ts timeoutea en ARM
Yo: ""¿¿¿Qué??? Yo no toqué spawn""
CI: No importa. No merge.)","Cambio en napi.cpp (NAPI_AUTO_LENGTH) fue correcto. Pero test spawn.test.ts en aarch64 timeoutea sin relación. Bloqueó merge por 4 días. Problema: tests flaky en arquitectura específica no debería bloquear PRs no relacionadas. Raíz: infraestructura de tests inestable, sin aislamiento de flaky tests.",z
3193198936-A,3193198936,merged_after_rework,closed,true,707764474,Claude_Code,https://github.com/tphakala/birdnet-go/pull/841,,pr_review_comment,2025-07-01T17:48:40Z,2025-07-01T18:11:08Z,,1171,1171,merge_sin_review_aprobada,Merge de Código Incompleto con Deuda Técnica Aceptada,"PR marcada explícitamente como ""Phase 8"". Owner reconoce: race conditions, duplication de código, thread safety issues. Archivo proto (telemetry_worker_recommendation.go) con nota ""not used for now"". Decisión deliberada: mergear como MVP con deuda técnica conocida. Raíz: trabajo incremental permitido porque es fase de migración planificada.",z
3224085262-A,3224085262,merged_after_rework,closed,true,753589979,Claude_Code,https://github.com/karakeep-app/karakeep/pull/1723,,pr_review_comment,2025-07-11T20:08:25Z,2025-07-17T08:24:33Z,132299,132301,132299,primera_review_aprobada,Arquitectura No Validada Antes de Implementación,"xuatz implementó setting en BASE DE DATOS (ALTER TABLE). Reviewer MohamedBassem cuestionó: ""¿Por qué no local storage?"" Requirió reescritura completa. Raíz: decisión de arquitectura NO validada antes de implementación. Debería: diseño review ANTES de código.",z
3235103212-A,3235103212,merged_after_rework,closed,true,136202695,Claude_Code,https://github.com/mlflow/mlflow/pull/16758,,pr_review_comment,2025-07-17T09:21:03Z,2025-07-18T05:37:50Z,41698,44544,41698,primera_review_aprobada,Check de Compliance Fallido Pero Mergeado,"50 checks ejecutados, 48 pasados, 1 FALLÓ: DCO (Developer Certificate of Origin - policy de firma de commits). harupy iteró 8 commits para arreglar tests, pero NUNCA arregló DCO. Mergeó de todas formas con 48/49 checks. Raíz: asumió que DCO era ""advertencia"" no bloqueante.",z
3269741497-A,3269741497,merged_after_rework,closed,true,838659679,Claude_Code,https://github.com/codexu/note-gen/pull/481,,pr_comment,2025-07-28T12:40:26Z,2025-07-29T06:05:14Z,,17441,17441,merge_sin_review_aprobada,Merge Sin Validaciones Automáticas Ejecutadas,"0 checks ejecutados. PR mergeado sin que CI/CD corriera NADA. Commits duplicados (mismo código 2 veces). Rama dev aparentemente sin protecciones. Raíz: rama dev sin requisitos de checks, o sistema deshabilitado intencionalmente. ÚNICO caso mergeado en 1ª instancia pero por falta de validación.",z
3074788987-A,3074788987,merged_after_rework,closed,true,262395224,Copilot,https://github.com/dotnet/maui/pull/29578,,pr_review_comment,2025-05-19T19:29:32Z,2025-06-25T15:05:36Z,276,883787,276,primera_review_aprobada,Feedback Contradictorio de Múltiples Reviewers Causando Iteración Caótica,"mattleibow pidió: ""November 2025"". jfversluis contradijo: ""Conocemos fecha exacta (Nov 11-13)"". jsuarezruiz pidió: ""Remover entrada completamente"". Luego: ""Re-añadir solo con 2025"". 4 cambios contradictorios = 4 commits. Raíz: 3 reviewers sin coordinación, cada uno dando instrucciones diferentes.",z
3075024592-A,3075024592,merged_after_rework,closed,true,33010673,Copilot,https://github.com/microsoft/perfview/pull/2203,,pr_comment,2025-05-19T21:39:31Z,2025-05-22T17:14:02Z,66489,68092,66489,primera_review_aprobada,Timeout de Code Owner - Bypass por Conveniencia,"cincuranet fue EXPLÍCITAMENTE solicitado como code owner. No respondió en 3 días. marrobi (owner) mergeó de todas formas confiando en otras aprobaciones (leculver, marklio). Raíz: SLA de review no definido, no hay escalada automática, owner bypasseó requerimiento.",z
3075216235-A,3075216235,merged_after_rework,closed,true,667153158,Copilot,https://github.com/deadlydog/PowerShell.tiPS/pull/128,,pr_review_comment,2025-05-19T23:46:45Z,2025-05-20T00:12:12Z,,867,867,merge_sin_review_aprobada,Múltiples Iteraciones de Feedback Secuencial del Revisor,"deadlydog pidió cambio #1: ""Usa PowerShell en lugar de bash"". Copilot ejecutó y agregó test script. deadlydog pidió cambio #2: ""Remover test script"". 6 commits en 8 horas. Raíz: feedback secuencial pero claro. Cada iteración incrementaba la complejidad.",z
